Nume,Echipă,Post,M.V. (EUR),Vârstă,Țara campionatului,Competiție,Profil Transfermarkt,Lista sursă
Larry Nicolas Pirvu,APOEL Nicosia U19,Mijlocaș central,,17,Cipru,,https://www.transfermarkt.com/larry-nicolas-pirvu/profil/spieler/1535450,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/188
László Molnár,Dunipace FC,Mijlocaș stânga,,29,Scoția,Scottish Lowland Football League,https://www.transfermarkt.com/laszlo-molnar/profil/spieler/228027,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/190
Laurentiu-Marian Vacariu,HSV Barmbek-Uhlenhorst II,Portar,,20,Germania,Landesliga Hansa,https://www.transfermarkt.com/laurentiu-marian-vacariu/profil/spieler/1538164,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/16
Laurentiu-Ovidiu Tirt,SV Blankenese,Mijlocaș,,22,Germania,,https://www.transfermarkt.com/laurentiu-ovidiu-tirt/profil/spieler/1377993,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/14
Laurențiu Biemel,FC Esslingen,Mijlocaș ofensiv,,22,Germania,,https://www.transfermarkt.com/laurentiu-biemel/profil/spieler/653263,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/7
Laurențiu Crăciun,SpVgg Amöneburg,Extremă dreapta,,29,Germania,,https://www.transfermarkt.com/laurentiu-craciun/profil/spieler/1307437,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/14
Laurențiu Petean,SV Jechtingen,Mijlocaș central,,38,Germania,,https://www.transfermarkt.com/laurentiu-petean/profil/spieler/156644,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40
Laurențiu Radu,VV Rijnmond Hoogvliet Sport,Fundaș dreapta,,39,Țările de Jos,,https://www.transfermarkt.com/laurentiu-radu/profil/spieler/213663,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/122
Laurențiu Weisz,SV Kohlhof,Fundaș,,35,Germania,,https://www.transfermarkt.com/laurentiu-weisz/profil/spieler/999171,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/10
Lehel Modra,SCU St. Georgen/Ybbsfeld,Mijlocaș central,,30,Austria,,https://www.transfermarkt.com/lehel-modra/profil/spieler/461826,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/127
Leonard Bizoi,Gullfálkinn,Mijlocaș,,,Islanda,,https://www.transfermarkt.com/leonard-bizoi/profil/spieler/1110533,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/73
Leonard Jigalov,SV Friedburg,Extremă stânga,,23,Austria,Oberösterreich Liga,https://www.transfermarkt.com/leonard-jigalov/profil/spieler/908603,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/127/page/2
Leonard Murariu,Lucchese Primavera,Portar,,17,Italia,,https://www.transfermarkt.com/leonard-murariu/profil/spieler/1524186,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/75/page/7
Leonardo Ferroni,Tritium Calcio 1908,Fundaș central,,21,Italia,Serie D - Girone B,https://www.transfermarkt.com/leonardo-ferroni/profil/spieler/914264,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/75/page/3
Liam-Rowan Buss,USV Grafendorf,Portar,,19,Austria,,https://www.transfermarkt.com/liam-rowan-buss/profil/spieler/1429147,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/127/page/3
Liviu Nenciu,Viktoria Arnoldsweiler,Fundaș stânga,,20,Germania,,https://www.transfermarkt.com/liviu-nenciu/profil/spieler/1191647,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/12
Liviu Pogonescu,SV Planegg-Krailling,Mijlocaș,,20,Germania,Landesliga Bayern Südost,https://www.transfermarkt.com/liviu-pogonescu/profil/spieler/1564925,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/16
Liviu-Mihai Șoaită,VfR Zusenhofen,Atacant,,38,Germania,,https://www.transfermarkt.com/liviu-mihai-soaita/profil/spieler/609989,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/6
Luca Botas,SV Franckviertel Linz,Atacant,,20,Austria,,https://www.transfermarkt.com/luca-botas/profil/spieler/917868,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/127/page/2
Luca Burungiu,Mantova Primavera,Fundaș central,,17,Italia,Primavera 2 - A,https://www.transfermarkt.com/luca-burungiu/profil/spieler/1226636,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/75/page/5
Luca Lungu,Sassuolo Primavera,Portar,,18,Italia,Primavera 1,https://www.transfermarkt.com/luca-lungu/profil/spieler/1376937,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/75/page/6
Luca Pogaci,CS Italien GE,Mijlocaș,,20,Elveția,,https://www.transfermarkt.com/luca-pogaci/profil/spieler/1291127,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/148
Luca Popescu,FK Pirmasens II,Fundaș central,,19,Germania,Verbandsliga Südwest,https://www.transfermarkt.com/luca-popescu/profil/spieler/1434834,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/15
Lucas Stîngă,PSV Eindhoven Amateurs,Mijlocaș,,22,Țările de Jos,,https://www.transfermarkt.com/lucas-stinga/profil/spieler/1268268,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/122
Lucas Vertic,SpVgg Greuther Fürth U17,Atacant central,,16,Germania,U17 DFB-Nachwuchsliga - Vorrunde Gruppe E,https://www.transfermarkt.com/lucas-vertic/profil/spieler/1444030,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/15
Lucian Duminică,Padova Primavera,Fundaș,,18,Italia,Primavera 2 - A,https://www.transfermarkt.com/lucian-duminica/profil/spieler/1348162,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/75/page/6
Lucian Ionescu,Törökbálinti TC,Fundaș,,29,Ungaria,,https://www.transfermarkt.com/lucian-ionescu/profil/spieler/315453,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/178
Lucian Nicola,FC Bazenheid,Fundaș central,,29,Elveția,,https://www.transfermarkt.com/lucian-nicola/profil/spieler/1319469,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/148
Lucian Pintilescu,Lüneburger SK Hansa II,Fundaș central,,27,Germania,,https://www.transfermarkt.com/lucian-pintilescu/profil/spieler/990648,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/10
Luiz Liuba,Freiburger FC Youth,Fundaș,,,Germania,,https://www.transfermarkt.com/luiz-liuba/profil/spieler/1317218,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/14
Lukas Iurea,SV Zehdenick,Mijlocaș,,23,Germania,,https://www.transfermarkt.com/lukas-iurea/profil/spieler/568576,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/6
Lukas Jigalov,SV Schalchen,Atacant,,20,Austria,,https://www.transfermarkt.com/lukas-jigalov/profil/spieler/1033332,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/127/page/2
Madalin-Florentin Goldis,FC Germania Neureut,Mijlocaș,,23,Germania,,https://www.transfermarkt.com/madalin-florentin-goldis/profil/spieler/1571777,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/16
Marcel Burkutean,MTV Wolfenbüttel,Mijlocaș central,,,Germania,Landesliga Braunschweig,https://www.transfermarkt.com/marcel-burkutean/profil/spieler/407813,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/5
Marcel Ghirăstău,SC Pfingstberg-Hochstätt,Atacant,,43,Germania,,https://www.transfermarkt.com/marcel-ghirastau/profil/spieler/199866,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/4
Marcel Mititelu,ASV Wuppertal,Mijlocaș,,34,Germania,,https://www.transfermarkt.com/marcel-mititelu/profil/spieler/634441,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/6
Marco Barb-Dudan,Sassuolo Under 18,Mijlocaș ofensiv,,17,Italia,Campionato Under 18,https://www.transfermarkt.com/marco-barb-dudan/profil/spieler/1241024,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/75/page/5
Marco Chindea,Lucan United,Atacant central,,32,Irlanda,FAI National League,https://www.transfermarkt.com/marco-chindea/profil/spieler/278893,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/72
Marcos Manolache,Real Zaragoza U19,Portar,,18,Spania,,https://www.transfermarkt.com/marcos-manolache/profil/spieler/1259832,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/157/page/2
Marcus Precub,Türkspor Augsburg,Atacant,,21,Germania,Landesliga Bayern Südwest,https://www.transfermarkt.com/marcus-precub/profil/spieler/1557269,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/16
Marian Ababei,Paternò Calcio,Fundaș dreapta,,23,Italia,,https://www.transfermarkt.com/marian-ababei/profil/spieler/1188006,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/75/page/4
Marian Bănuță,Cabestany OC,Mijlocaș dreapta,,40,Franța,,https://www.transfermarkt.com/marian-banuta/profil/spieler/48815,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/50
Marian Iordache,ATSV Salzburg II,Mijlocaș,,24,Austria,,https://www.transfermarkt.com/marian-iordache/profil/spieler/1586006,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/127/page/4
Marian Murariu,SV Wörgl,Portar,,20,Austria,Tiroler Liga,https://www.transfermarkt.com/marian-murariu/profil/spieler/1510652,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/127/page/3
Marian Năsui,FC Noertzange HF,Fundaș,,43,Luxembourg,,https://www.transfermarkt.com/marian-nasui/profil/spieler/711114,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/99
Marian Popescu,ASC Dudweiler,Mijlocaș defensiv,,31,Germania,,https://www.transfermarkt.com/marian-popescu/profil/spieler/244659,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/2
Marian Radu Dumitru,FC Neufahrn i.NB,Mijlocaș,,37,Germania,,https://www.transfermarkt.com/marian-radu-dumitru/profil/spieler/724503,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/7
Marian Șerban,SV Hebertsfelden,Fundaș central,,23,Germania,,https://www.transfermarkt.com/marian-serban/profil/spieler/1149356,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/11
Marian-Ștefan Stroe,Gullfálkinn,Mijlocaș,,,Islanda,,https://www.transfermarkt.com/marian-stefan-stroe/profil/spieler/887335,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/73
Mario Alexandru Matei,Virtus Entella Primavera,Mijlocaș,,17,Italia,Primavera 2 - A,https://www.transfermarkt.com/mario-alexandru-matei/profil/spieler/1459543,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/75/page/6
Mario Eduardo Soare,FC Stade-Payerne Youth,Mijlocaș,,19,Elveția,,https://www.transfermarkt.com/mario-eduardo-soare/profil/spieler/1192780,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/148
Mario Gabriel Lami Enache,Aglianese Giovanili,Portar,,20,Italia,,https://www.transfermarkt.com/mario-gabriel-lami-enache/profil/spieler/1211476,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/75/page/5
Mario Sergio Costea,Tuttocuoio Giovanili,Mijlocaș,,20,Italia,,https://www.transfermarkt.com/mario-sergio-costea/profil/spieler/1390798,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/75/page/6
Mario-Cătălin Codreanu,VfB Frohnhausen,Mijlocaș ofensiv,,22,Germania,,https://www.transfermarkt.com/mario-catalin-codreanu/profil/spieler/1188407,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/12
Marius Anghelache,FC Türk Sport Garching,Portar,,37,Germania,,https://www.transfermarkt.com/marius-anghelache/profil/spieler/213099,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/2
Marius Bindiu,VfL Waldkraiburg,Extremă dreapta,,32,Germania,,https://www.transfermarkt.com/marius-bindiu/profil/spieler/729768,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/8
Marius Bogdan,ASKÖ Mauthausen,Atacant central,,44,Austria,,https://www.transfermarkt.com/marius-bogdan/profil/spieler/276268,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/127
Marius Boltașu,SC Danubius Waldkraiburg,Mijlocaș,,,Germania,,https://www.transfermarkt.com/marius-boltasu/profil/spieler/729718,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/8
Marius Leca,FC Romania,Fundaș central,,26,Anglia,,https://www.transfermarkt.com/marius-leca/profil/spieler/567520,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/189
Marius Oprea,TuS Wagenfeld,Mijlocaș,,,Germania,,https://www.transfermarkt.com/marius-oprea/profil/spieler/267634,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/4
Marius Pătru,Biggleswade FC,Fundaș stânga,,30,Anglia,,https://www.transfermarkt.com/marius-patru/profil/spieler/289280,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/189
Marius Stan,FC Malcantone,Extremă stânga,,27,Elveția,2. Liga interregional - Gruppe 4,https://www.transfermarkt.com/marius-stan/profil/spieler/608584,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/148
Marius Șuta,SV Mochenwangen,Portar,,35,Germania,,https://www.transfermarkt.com/marius-suta/profil/spieler/164293,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40
Marius Țugui,SG Schönau,Mijlocaș,,31,Germania,,https://www.transfermarkt.com/marius-tugui/profil/spieler/597029,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/6
Marius-Andrei Petre,FVgg Neudorf,Atacant central,,25,Germania,,https://www.transfermarkt.com/marius-andrei-petre/profil/spieler/728541,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/8
Marius-Andrei Sava,FC Rohrendorf,Fundaș,,29,Austria,,https://www.transfermarkt.com/marius-andrei-sava/profil/spieler/439815,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/127/page/2
Marius-Florin Matei,FC Ottenheim,Mijlocaș,,,Germania,,https://www.transfermarkt.com/marius-florin-matei/profil/spieler/1281085,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/13
Marius-Stefan Albu,Sportunion Aschbach,Mijlocaș,,34,Austria,,https://www.transfermarkt.com/marius-stefan-albu/profil/spieler/1074904,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/127/page/2
Martin-Armand Toma,SV Dessau 05 II,Atacant central,,21,Germania,,https://www.transfermarkt.com/martin-armand-toma/profil/spieler/1257682,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/13
Matei Bărbat,Jong Cercle,Mijlocaș ofensiv,,16,Belgia,1ste Nationale VV,https://www.transfermarkt.com/matei-barbat/profil/spieler/1345752,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/19
Matei Ceuca,Torino Primavera,Fundaș central,,18,Italia,Primavera 1,https://www.transfermarkt.com/matei-ceuca/profil/spieler/1315227,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/75/page/5
Matei Pădure,VfL Wolfsburg U17,Mijlocaș ofensiv,,16,Germania,U17 DFB-Nachwuchsliga - Vorrunde Gruppe A,https://www.transfermarkt.com/matei-padure/profil/spieler/1339995,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/14
Matteo Olaru,SV Unter-Flockenbach,Atacant,,24,Germania,Hessenliga,https://www.transfermarkt.com/matteo-olaru/profil/spieler/689454,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/7
Matthias Mal,AKA St. Pölten U18,Fundaș central,,17,Austria,ÖFB Jugendliga U18,https://www.transfermarkt.com/matthias-mal/profil/spieler/1178735,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/127/page/3
Matthias Steger,TSV Gersthofen,Atacant,,30,Germania,Landesliga Bayern Südwest,https://www.transfermarkt.com/matthias-steger/profil/spieler/393974,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/4
